observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Budflush2	SLA	CM	Shoots3	Syllep1	Circum2	Height2	NM	REP	Height1	BS_date	Circum1	Delta13C
661300248	gnpis.lot:'661300248'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhUQ0dQSA==	661300248	661300248	2005	2005-05-12T02:00:00Z				7.5185639999999996									
661300248	gnpis.lot:'661300248'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhUQ0dQSA==	661300248	661300248	2005	2015-09-01T02:00:00Z									6				
661300228	gnpis.lot:'661300228'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pCQUoyWg==	661300228	661300228	2004	2004-03-21T01:00:00Z	92.571922953459804												
661300228	gnpis.lot:'661300228'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pCQUoyWg==	661300228	661300228	2004	2004-01-12T01:00:00Z												32.149294959595338	
661300228	gnpis.lot:'661300228'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pCQUoyWg==	661300228	661300228	2004	2004-12-18T01:00:00Z						105.93							
661300228	gnpis.lot:'661300228'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pCQUoyWg==	661300228	661300228	2004	2004-04-01T02:00:00Z			453.92500000000001										
661300228	gnpis.lot:'661300228'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pCQUoyWg==	661300228	661300228	2004	2004-04-01T02:00:00Z													21.442499999999999
661300228	gnpis.lot:'661300228'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pCQUoyWg==	661300228	661300228	2004	2004-01-12T01:00:00Z										242.1			
661300228	gnpis.lot:'661300228'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pCQUoyWg==	661300228	661300228	2004	2004-12-18T01:00:00Z							555.70000000000005						
661300228	gnpis.lot:'661300228'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pCQUoyWg==	661300228	661300228	2004	2004-04-01T02:00:00Z								21.987500000000001					
661300228	gnpis.lot:'661300228'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pCQUoyWg==	661300228	661300228	2004	2004-04-01T02:00:00Z		158.52500000000001											
