VarietyID	AccessionID	institute	DOI	Parent1	Parent1 institute	Parent2	Parent2 institute	CodeID	Panel246	GeneticGroup	Holding	HoldingName
Lo1123	Lo1123_H	inra	https://doi.org/10.15454/QHEMLY	Lo1123_bergamo	CREA	UH_007	UH	3186	yes	Iodent		
Lo1124	Lo1124_H	inra	https://doi.org/10.15454/UHQTBS	Lo1124_bergamo	CREA	UH_007	UH	3187	yes	Lancaster		
Lo1130	Lo1130_H	inra	https://doi.org/10.15454/D6XH5E	Lo1130_bergamo	CREA	UH_007	UH	3188	no	Iodent		
Lo1172	Lo1172_H	inra	https://doi.org/10.15454/GJAFVX	Lo1172_bergamo	CREA	UH_007	UH	3189	yes	Other		
Lo1180	Lo1180_H	inra	https://doi.org/10.15454/4YFVBA	Lo1180_bergamo	CREA	UH_007	UH	3190	yes	Iodent		
Lo1187	Lo1187_H	inra	https://doi.org/10.15454/VNMSHP	Lo1187_bergamo	CREA	UH_007	UH	3191	yes	Stiff_Stalk		
Lo1199	Lo1199_H	inra	https://doi.org/10.15454/9UZPXS	Lo1199_bergamo	CREA	UH_007	UH	3192	yes	Stiff_Stalk		
Lo1203	Lo1203_H	inra	https://doi.org/10.15454/B3KRWB	Lo1203_bergamo	CREA	UH_007	UH	3193	yes	Lancaster		
Lo1223	Lo1223_H	inra	https://doi.org/10.15454/8XPNG8	Lo1223_bergamo	CREA	UH_007	UH	3194	yes	Stiff_Stalk		
Lo1242	Lo1242_H	inra	https://doi.org/10.15454/LSJ0SQ	Lo1242_bergamo	CREA	UH_007	UH	3195	yes	Lancaster		
Lo1251	Lo1251_H	inra	https://doi.org/10.15454/ZPQMID	Lo1251_bergamo	CREA	UH_007	UH	3196	yes	Stiff_Stalk		
Lo1253	Lo1253_H	inra	https://doi.org/10.15454/NKIE76	Lo1253_bergamo	CREA	UH_007	UH	3197	yes	Stiff_Stalk		
Lo1261	Lo1261_H	inra	https://doi.org/10.15454/YBXTRS	Lo1261_bergamo	CREA	UH_007	UH	3198	yes	Stiff_Stalk		
Lo1266	Lo1266_H	inra	https://doi.org/10.15454/TNGTAV	Lo1266_bergamo	CREA	UH_007	UH	3199	yes	Iodent		
Lo1270	Lo1270_H	inra	https://doi.org/10.15454/TMJHZA	Lo1270_bergamo	CREA	UH_007	UH	3200	yes	Lancaster		
Lo1273	Lo1273_H	inra	https://doi.org/10.15454/TUULPT	Lo1273_bergamo	CREA	UH_007	UH	3201	yes	Iodent		
Lo1274	Lo1274_H	inra	https://doi.org/10.15454/DTTIUB	Lo1274_bergamo	CREA	UH_007	UH	3202	yes	Lancaster		
Lo1280	Lo1280_H	inra	https://doi.org/10.15454/ZVAVSP	Lo1280_bergamo	CREA	UH_007	UH	3203	yes	Lancaster		
Lo1282	Lo1282_H	inra	https://doi.org/10.15454/E3TUYJ	Lo1282_bergamo	CREA	UH_007	UH	3204	yes	Lancaster		
Lo1284	Lo1284_H	inra	https://doi.org/10.15454/OVW4GG	Lo1284_bergamo	CREA	UH_007	UH	3205	yes	Lancaster		
Lo1288	Lo1288_H	inra	https://doi.org/10.15454/XXTRYK	Lo1288_bergamo	CREA	UH_007	UH	3206	yes	Lancaster		
Lo1290	Lo1290_H	inra	https://doi.org/10.15454/YL5R4U	Lo1290_bergamo	CREA	UH_007	UH	3207	yes	Lancaster		
Lo1301	Lo1301_H	inra	https://doi.org/10.15454/1ZCMBD	Lo1301_bergamo	CREA	UH_007	UH	3209	yes	Stiff_Stalk		
Lo904	Lo904_H	inra	https://doi.org/10.15454/WAG6NL	Lo904_bergamo	CREA	UH_007	UH	3210	yes	Stiff_Stalk		
Lp5	Lp5_H	inra	https://doi.org/10.15454/VVTTBY	Lp5_usda	INRA	UH_007	UH	3069	yes	Stiff_Stalk		
ML606	ML606_H	inra	https://doi.org/10.15454/KOKHG9	ML606_usda	USDA	UH_007	UH	3080	yes	Lancaster		
Mo15W	Mo15W_H	inra	https://doi.org/10.15454/0LXNCN	Mo15W_inra	INRA	UH_007	UH	3211	yes	Other		
Mo17	Mo17_H	inra	https://doi.org/10.15454/HWCPGC	Mo17_inra	INRA	UH_007	UH	3046	yes	Lancaster		
MS153	MS153_H	inra	https://doi.org/10.15454/NPJBWJ	MS153_inra	INRA	UH_007	UH	3007	yes	Other		
MS71	MS71_H	inra	https://doi.org/10.15454/4XYXKB	MS71_uh	UH	UH_007	UH	3096	yes	Other		
N16	N16_H	inra	https://doi.org/10.15454/HDJP0L	N16_inra	INRA	UH_007	UH	3212	yes	Other		
N192	N192_H	inra	https://doi.org/10.15454/7CWQV7	N192_usa	USA	UH_007	UH	3213	yes	Stiff_Stalk		
N22	N22_H	inra	https://doi.org/10.15454/67FHQJ	N22_inra	INRA	UH_007	UH	3214	yes	Other		
N25	N25_H	inra	https://doi.org/10.15454/N0XW6Z	N25_inra	INRA	UH_007	UH	3052	yes	Other		
N6	N6_H	inra	https://doi.org/10.15454/OJB9O0	N6_inra	INRA	UH_007	UH	3064	yes	Other		
NC290	NC290_H	inra	https://doi.org/10.15454/TX6MDP	NC290_uh	UH	UH_007	UH	3031	yes	Lancaster		
NC358	NC358_H	inra	https://doi.org/10.15454/2D05EV	NC358_uh	UH	UH_007	UH	3099	yes	Other		
NDB8	NDB8_H	inra	https://doi.org/10.15454/I1PIAB	NDB8_inra	INRA	UH_007	UH	3094	yes	Other		
NK764	NK764_H	inra	https://doi.org/10.15454/68UAOE	NK764_usda	USDA	UH_007	UH	3215	yes	Stiff_Stalk		
NK807	NK807_H	inra	https://doi.org/10.15454/VFUIV5	NK807_usda	USDA	UH_007	UH	3216	yes	Other		
NQ508	NQ508_H	inra	https://doi.org/10.15454/FCAQLR	NQ508_usda	USDA	UH_007	UH	3217	yes	Iodent		
NS501	NS501_H	inra	https://doi.org/10.15454/CHTSUF	NS501_usda	USDA	UH_007	UH	3265	no	Iodent		
NS701	NS701_H	inra	https://doi.org/10.15454/PAY7DB	NS701_usda	USDA	UH_007	UH	3218	yes	Stiff_Stalk		
Oh02	Oh02_H	inra	https://doi.org/10.15454/EYCTRV	Oh02_inra	INRA	UH_007	UH	3025	yes	Other		
Oh33	Oh33_H	inra	https://doi.org/10.15454/YLEAQG	Oh33_inra	INRA	UH_007	UH	3005	yes	Other		
Oh40B	Oh40B_H	inra	https://doi.org/10.15454/AZDRPF	Oh40B_inra	INRA	UH_007	UH	3219	yes	Lancaster		
Oh43	Oh43_H	inra	https://doi.org/10.15454/5GN11W	Oh43_inra	INRA	UH_007	UH	3003	yes	Lancaster		
Os426	Os426_H	inra	https://doi.org/10.15454/GYTVRS	Os426_inra	INRA	UH_007	UH	3038	yes	Other		
P465P	P465P_H	inra	https://doi.org/10.15454/GWATR4	P465P_inra	INRA	UH_007	UH	3220	yes	Other		
Pa35	Pa35_H	inra	https://doi.org/10.15454/UHHPBO	Pa35_inra	INRA	UH_007	UH	3266	no	Other		
Pa36	Pa36_H	inra	https://doi.org/10.15454/LFUUTO	Pa36_inra	INRA	UH_007	UH	3208	yes	Other		
Pa405	Pa405_H	inra	https://doi.org/10.15454/KUZQQB	Pa405_uh	UH	UH_007	UH	3023	yes	Other		
Pa91	Pa91_H	inra	https://doi.org/10.15454/ITYYBD	Pa91_inra	INRA	UH_007	UH	3089	yes	Other		
PB116	PB116_H	inra	https://doi.org/10.15454/WFCPMD	PB116_inra	INRA	UH_007	UH	3062	yes	Other		
PB98TR	PB98TR_H	inra	https://doi.org/10.15454/COQ7PM	PB98TR_inra	INRA	UH_007	UH	3061	yes	Other		
PH207	PH207_H	inra	https://doi.org/10.15454/AQWE02	PH207_usda	USDA	UH_007	UH	3002	yes	Iodent		
PHB09	PHB09_H	inra	https://doi.org/10.15454/ZUQPG3	PHB09_usda	USDA	UH_007	UH	3083	yes	Stiff_Stalk		
PHG35	PHG35_H	inra	https://doi.org/10.15454/7TOVKA	PHG35_usda	USDA	UH_007	UH	3223	yes	Iodent		
PHG39	PHG39_H	inra	https://doi.org/10.15454/CCDUCG	PHG39_usda	USDA	UH_007	UH	3039	yes	Stiff_Stalk		
PHG47	PHG47_H	inra	https://doi.org/10.15454/SZLUZC	PHG47_usda	USDA	UH_007	UH	3082	yes	Lancaster		
PHG50	PHG50_H	inra	https://doi.org/10.15454/ZMCLMH	PHG50_usda	USDA	UH_007	UH	3224	yes	Iodent		
PHG71	PHG71_H	inra	https://doi.org/10.15454/3PWKJE	PHG71_usda	USDA	UH_007	UH	3225	yes	Iodent		
PHG80	PHG80_H	inra	https://doi.org/10.15454/30LETM	PHG80_usda	USDA	UH_007	UH	3226	yes	Stiff_Stalk		
PHG83	PHG83_H	inra	https://doi.org/10.15454/ETLUFX	PHG83_usda	USDA	UH_007	UH	3051	yes	Iodent		
PHG84	PHG84_H	inra	https://doi.org/10.15454/Y3D0CI	PHG84_usda	USDA	UH_007	UH	3227	yes	Lancaster		
PHG86	PHG86_H	inra	https://doi.org/10.15454/CAUHOJ	PHG86_usda	USDA	UH_007	UH	3055	yes	Stiff_Stalk		
PHH93	PHH93_H	inra	https://doi.org/10.15454/WZXITF	PHH93_usda	USDA	UH_007	UH	3077	yes	Iodent		
PHJ40	PHJ40_H	inra	https://doi.org/10.15454/TZD7EC	PHJ40_usda	USDA	UH_007	UH	3228	yes	Lancaster		
PHK29	PHK29_H	inra	https://doi.org/10.15454/RCUMRI	PHK29_usda	USDA	UH_007	UH	3229	yes	Stiff_Stalk		
PHK76	PHK76_H	inra	https://doi.org/10.15454/D6A8VZ	PHK76_usda	INRA	UH_007	UH	3091	yes	Lancaster		
PHR36	PHR36_H	inra	https://doi.org/10.15454/YPHNBZ	PHR36_usda	USDA	UH_007	UH	3230	yes	Other		
PHT77	PHT77_H	inra	https://doi.org/10.15454/EQYTRS	PHT77_usda	USDA	UH_007	UH	3231	yes	Lancaster		
PHV63	PHV63_H	inra	https://doi.org/10.15454/WLFPQC	PHV63_usda	USDA	UH_007	UH	3232	yes	Stiff_Stalk		
PHW65	PHW65_H	inra	https://doi.org/10.15454/TALVXU	PHW65_usda	USDA	UH_007	UH	3233	yes	Lancaster		
PHZ51	PHZ51_H	inra	https://doi.org/10.15454/XGPNFM	PHZ51_usda	USDA	UH_007	UH	3234	yes	Lancaster		
PP147	PP147_H	inra	https://doi.org/10.15454/TXE8L9	PP147_inra	INRA	UH_007	UH	3268	no	Other		
SC-Malawi	SC-Malawi_H	inra	https://doi.org/10.15454/HBOONE	SC-Malawi_cim	CIMMYT	UH_007	UH	3235	yes	Other		
SGI061	SGI061_H	inra	https://doi.org/10.15454/I2W4OZ	SGI061_ifsi	IFSI	UH_007	UH	3256	yes	Iodent		
UH_2500	UH_2500_H	inra	https://doi.org/10.15454/CXASTH	UH_2500_uh	UH	UH_007	UH	3236	yes	Other		
UH_6102	UH_6102_H	inra	https://doi.org/10.15454/ZEQFBU	UH_6102_uh	UH	UH_007	UH	3237	yes	Iodent		
UH_6179	UH_6179_H	inra	https://doi.org/10.15454/PRT5XO	UH_6179_uh	UH	UH_007	UH	3238	yes	Iodent		
UH_P024	UH_P024_H	inra	https://doi.org/10.15454/NAG17Z	UH_P024_uh	UH	UH_007	UH	3239	yes	Iodent		
UH_P060	UH_P060_H	inra	https://doi.org/10.15454/PTTCO2	UH_P060_uh	UH	UH_007	UH	3240	yes	Iodent		
UH_P064	UH_P064_H	inra	https://doi.org/10.15454/HAMEQC	UH_P064_uh	UH	UH_007	UH	3241	yes	Iodent		
UH_P074	UH_P074_H	inra	https://doi.org/10.15454/KENKPI	UH_P074_uh	UH	UH_007	UH	3242	yes	Iodent		
UH_P087	UH_P087_H	inra	https://doi.org/10.15454/RQFY2B	UH_P087_uh	UH	UH_007	UH	3243	yes	Iodent		
UH_P089	UH_P089_H	inra	https://doi.org/10.15454/VO3AKN	UH_P089_uh	UH	UH_007	UH	3032	yes	Iodent		
UH_P104	UH_P104_H	inra	https://doi.org/10.15454/H9VQPV	UH_P104_uh	UH	UH_007	UH	3244	yes	Other		
UH_P115	UH_P115_H	inra	https://doi.org/10.15454/YK08AN	UH_P115_uh	UH	UH_007	UH	3245	yes	Iodent		
UH_P128	UH_P128_H	inra	https://doi.org/10.15454/VELLIH	UH_P128_uh	UH	UH_007	UH	3075	yes	Iodent		
UH_P148	UH_P148_H	inra	https://doi.org/10.15454/MMGFWL	UH_P148_uh	UH	UH_007	UH	3246	yes	Iodent		
UH_S018	UH_S018_H	inra	https://doi.org/10.15454/TOUBKW	UH_S018_uh	UH	UH_007	UH	3247	yes	Other		
UH_S020	UH_S020_H	inra	https://doi.org/10.15454/RGRUUB	UH_S020_uh	UH	UH_007	UH	3248	yes	Other		
